age,pos,TS%,TRB%,3PAr,FTAr
25,SG,34,8,21.4,35.7
22,SG,40.5,5.6,22.2,22.2
20,PG,59.6,15,34.4,50
27,SG,53.6,5.6,56.8,11.6
28,C,45.2,10.5,66.7,30.8
26,PF,56.3,9.7,57.7,9.6
29,SG,69.7,3.5,39.6,9.4
27,PG,58.4,6.6,28.8,16.9
24,PF,70.8,15.1,42.5,57.5
31,C,60.4,23.3,3.3,30
26,SF,42.1,6,64.3,42.9
27,SG,65.6,3.1,20,50
24,PF,25.8,10.2,50,66.7
25,SG,40,6.1,0,0
22,SG,51.5,12.1,33.3,66.7
35,PG,64.7,0,0,300
24,C,60.5,17.1,23.8,28.1
29,SF,54.9,10.7,39,18
22,PG,55.9,6.9,36.2,20.7
25,PF,59.1,7.3,39.7,30.9
25,SG,51.9,5.1,40.5,17.7
24,PG,54.5,4.7,30.4,15.7
34,PF,59.1,13.2,28.3,32.2
29,SF,55.3,9.9,51.3,13.4
29,C,61.3,16.8,1.7,53.8
21,PF,61.7,16.1,38.4,18.8
23,SG,51.1,5.8,53.5,12.6
24,PF,44.2,12.6,54.5,22.7
23,PG,49.5,7.5,31.2,18.5
24,SF,57.1,9.7,32.1,35.7
20,SF,61.7,12.2,32.1,35.7
28,SG,46.4,4.4,71.4,0
22,SF,50.7,12.4,40,26.7
20,SF,71.4,10.9,0,0
28,SG,58,8.8,66.7,66.7
24,PF,83.8,14.9,16.7,66.7
22,PF,69.4,11.8,0,100
22,PG,62.6,7.3,37.2,21.2
24,C,61.4,16,28.6,23
25,PF,55.6,5.7,54.3,30.9
34,PF,53.6,11.5,37.3,45.8
21,PF,60.2,16.8,54.3,21.3
24,PG,58.1,4.3,30.1,25.6
25,SG,52.2,4.4,57.8,24.4
29,SF,51.4,9.8,53.8,16.7
29,C,51.9,17.6,2.6,30.8
23,PG,48.5,8.6,24.2,42.4
28,SG,62.1,6,50,16.7
24,SF,25.5,14.9,0,40
20,SF,75.9,14.2,33.3,88.9
22,PF,0,29.8,0,0
24,PF,0,0,0,0
28,SG,58.4,5,61.1,15.7
26,C,55,26.6,3.1,37.6
28,SF,59.8,3.8,66.5,8.4
23,SG,51.8,9.5,21.5,26.6
24,PF,65.9,16.7,27.6,47.6
31,PG,55.5,5.3,19.5,18.5
22,SF,57.8,4.7,70.4,17.3
30,PF,57.3,9.9,48.6,20.3
23,SG,58.9,6,53.5,21.9
22,C,58.2,12.2,33.2,57
19,SF,47.4,8.9,41.5,19.5
30,PF,47.6,9.3,44.4,39.2
29,PG,49.2,6.1,41.4,16.7
29,PG,46.4,5.3,31.9,25.5
28,PG,57.6,5.4,82.7,25.9
29,PF,67,14.5,9.8,25.5
28,SG,44.6,8.7,37.2,51.2
20,SF,44.8,9.2,52.4,14.3
23,SG,45.3,0.9,82.4,23.5
22,PG,30,4.3,50,0
22,PF,45.2,17.7,0,150
24,PG,50,2.2,100,0
23,PF,57.1,9,20.2,33.1
26,SF,57.4,8.1,33.5,14.6
27,SG,54.8,9.1,46.8,24.7
28,SG,55.2,8.8,37.3,37.3
20,SG,45.4,5,52.8,23.7
29,PF,48.9,11.8,40.8,26.3
22,PF,60.4,16.5,10.1,40.5
23,PG,55.8,6.2,50.6,22.7
22,PG,49.4,6.5,33.3,12.8
26,C,57.3,14.7,0,22.2
22,PF,55.1,13.4,37.3,31.2
22,SG,43.9,5.4,28.6,21.8
24,SG,54.2,7.4,31.4,32.4
26,SF,52.9,10.4,36.5,7.9
23,C,40.3,13.6,17.7,15.2
25,SG,53.3,6.1,77.6,17.9
22,SF,53.4,14.7,47.9,15.5
31,PG,55.7,10.1,59.8,31.7
19,PF,61,10.5,32.5,47.5
33,PG,55.7,3.7,31.8,4.5
26,PG,37.7,2.7,50,150
22,SG,43.7,7.5,72.7,9.1
30,SG,62.6,9.4,55.7,52.8
34,PF,55.9,10.1,70.2,11.3
31,PG,53.6,11.5,16.6,29.7
26,SF,57.2,7.3,65.9,16.7
26,SG,62.2,5.1,82.9,12.3
27,SG,54.2,5.8,53.9,22.2
25,C,62.6,22,0,26.8
31,SG,51,3.7,65.4,23.1
29,C,53.1,12.7,74,13.2
35,PF,48.7,11.2,59.3,8.8
33,C,68.2,6.7,53,18.8
22,SG,54.8,5.4,75.4,7.7
21,C,67.4,17.7,7.5,41.8
37,C,71.7,15.8,0,72.2
25,PF,56.4,9.9,86.4,11.9
33,PF,57.8,8.1,54.1,59.5
25,SG,38.4,3.6,79.3,48.3
24,C,61.8,16.1,40,30
33,PF,42.5,4.2,40,40
31,C,35.7,26.2,71.4,0
26,PF,0,8.1,100,0
30,SG,63.6,8.3,51.3,50.9
34,PF,54,11.6,76.1,0
31,SF,53.7,4.4,51.1,22.7
29,C,68.3,8.8,71.6,7.4
33,C,62.9,9.8,52.4,16.5
26,SF,56.8,10.4,62.4,15.3
31,PG,46.4,11.9,23.6,22.9
27,SG,42.7,7.9,57.4,21.3
26,SG,55,4.7,90,0
25,SG,37.5,18.6,50,0
22,SG,59.5,13.9,100,40
24,C,50,23.9,50,0
33,PF,50,27.9,0,0
37,C,0,0,0,0
26,SF,61,7,22.7,20.5
23,C,58.6,19.6,7.9,34.9
30,SG,58.5,7.1,68.1,13.8
23,C,56.6,12.2,42.6,28.8
27,PG,54.1,8.6,30.9,25
23,PG,52.1,5.3,39.3,15.5
28,PF,62,7,53.7,10.6
27,PG,54,7.8,4.1,10.2
27,SG,54.7,8.5,33,23
27,SG,50.6,7.8,42.3,24
20,C,52.3,12.3,28,22
26,SF,61.5,10.2,11.3,23.5
24,PG,49.1,5.6,37.3,20.4
22,PF,45.1,17.5,20.9,18.6
23,SF,50.9,22.3,27.6,34.5
26,SG,41.2,8.2,70.6,0
21,SG,30,12.4,20,0
27,PG,55.6,6.2,36.9,43.1
26,SF,55.6,9.4,27.9,13.2
23,C,61.7,17.2,31.8,36.4
30,SG,65,6.7,76.2,14.3
27,SG,56.3,6.2,58.9,28.6
23,PG,66.8,4.1,42.9,23.8
28,PF,33.3,3.3,66.7,0
26,SF,62.5,15.2,0,0
24,PG,38.1,8.6,42.9,28.6
27,PG,39.4,12.5,0,25
23,SF,0,0,0,0
33,SG,54.6,5.6,33.7,36.2
28,SF,58.9,11.3,28.7,35.5
26,C,60.7,13.2,2.2,43.2
22,SG,58,3.6,75.7,19.4
29,SF,58.9,10,48.7,27.7
31,PG,56,10.3,60.4,13.8
22,C,65.1,21.3,0.5,43.1
29,PF,57.6,15.4,67.6,13.6
26,SF,58.4,9.1,33.6,19.4
28,SG,47.7,9,49.2,18.8
30,PF,58,10.1,73.8,18.5
30,PF,52.3,7.4,48.3,12.6
22,SG,42.3,6.5,49.3,14
29,PG,58.7,7.3,49.2,16.4
23,SG,54.5,7.9,25.3,34.2
24,PG,62.6,3.5,58.3,25
22,SG,49.3,5.2,35.2,20.4
22,C,61.4,8.9,62.5,15.6
34,C,60.8,16.6,0,100
24,PF,77.4,12.7,6.7,46.7
28,SF,59.3,13.2,27.2,35.1
29,SF,53.6,9.2,50.2,24.9
30,PF,65.3,9.1,53.2,12.6
33,SG,51.1,6.7,34.9,25.3
22,C,62.6,16.2,0,47.4
26,C,60.8,8.7,6.1,82.9
22,SG,54.8,5,71.2,11.9
29,PF,67,12.3,41.8,16.4
29,PG,61.5,6.9,66.7,0
31,PG,61.3,11.1,56.4,10.3
23,SG,40,14.5,40,0
28,SG,80,13.9,60,0
30,PF,150,5.6,100,0
22,SG,25.8,0,33.3,66.7
34,C,0,0,0,0
35,PG,57.7,12.4,32.6,29.2
26,PF,61,14.8,19.9,47.9
26,SG,58.4,4.4,47.1,20.1
32,SG,55.2,7.3,69,10.1
24,PF,53.1,9.8,40.7,23.2
34,C,69.6,21.2,1.8,77.3
29,SG,53.7,5.3,45.2,6.3
25,PG,52.5,5.7,41.2,32.3
32,C,65.2,18.9,2,26.8
33,PG,49.4,7.9,38.1,12.5
26,PG,50.9,5.5,39.7,6.5
28,SG,52.7,5.5,70.9,10.1
34,SF,55.8,7.8,70,3.3
30,PF,51.6,12.4,56.5,8.7
28,SG,51.8,4.3,41.1,21.9
19,SG,53.5,4.7,43.3,13.3
34,SG,37.2,3.5,50,9.1
22,PF,90.2,8.2,0,66.7
23,C,50,30.4,0,0
22,SG,0,10.9,0,0
26,PF,66.5,15.6,16.7,49.9
35,PG,64.7,17.5,31.2,39.3
26,SG,56,4.3,63,14.3
32,SG,47.3,7.4,67.6,8.8
25,PG,54.3,5.6,54,26.5
24,PF,53.5,7.9,46.4,20.7
33,PG,55.3,10.3,41.3,15.7
30,PF,60.8,9.8,70.4,9.2
34,C,67.7,17.4,3.5,78.9
32,C,62.3,19.2,6.3,6.3
34,SG,38.5,2.4,84.6,0
28,SG,38.8,3.1,33.3,16.7
34,SF,0,3.8,75,0
26,PG,62.3,2.5,40,10
19,SG,58.3,17.3,41.7,0
24,SG,51,6.1,38.5,19
20,PG,55.6,6.6,19.1,32.9
27,C,63.1,22.5,12.3,27.1
20,C,59.3,8.5,48.9,24.7
26,PF,53.4,11.3,25.7,23.6
29,SF,50.7,11,66.7,23.8
23,PF,66.3,14,13.4,23.4
23,PG,53.2,4.4,28.9,13.5
21,PG,50.1,9.9,34.9,30.2
28,SF,54.9,8.4,63.1,16.3
24,SG,60.9,6.2,56.2,17.9
24,SG,51.4,7.9,52.9,16.6
22,SG,54.7,9.1,45.3,31.4
30,C,58.3,16.2,36.8,48.3
34,PF,60.2,7.4,85.4,16.7
24,C,44.1,12.1,36.2,4.3
23,SG,71.3,13.7,27,5.4
25,SG,48,10,23.5,23.5
25,PF,63.5,7.5,42.9,28.6
26,SF,25.4,3.8,57.1,28.6
26,SG,60.7,4.1,33.3,22.2
